id,title,url,type,note_zh
thl_places,Tibetan and Himalayan Library: Places,https://thlib.org/places/,reference_database,用于建立藏地及喜马拉雅地名、寺院、文化区域的初始参照。
bdrc,Buddhist Digital Resource Center / BUDA,https://www.bdrc.io/,archive,用于后续核对寺院、人物、文本与宗派脉络。
wikidata_osm_seed,Wikidata / OpenStreetMap seed coordinates,https://www.wikidata.org/,open_data_seed,本原型的部分坐标以开放资料与常见地图点位作初稿；发布前需逐笔复核。
unesco_tibetan_opera,UNESCO ICH: Tibetan opera,https://ich.unesco.org/en/RL/tibetan-opera-00208,ich_reference,用于藏戏 / 阿吉拉姆相关非遗标签。
unesco_gesar,UNESCO ICH: Gesar epic tradition,https://ich.unesco.org/en/RL/gesar-epic-tradition-00204,ich_reference,用于格萨尔史诗与口传传统相关标签。
unesco_regong,UNESCO ICH: Regong arts,https://ich.unesco.org/en/RL/regong-arts-00207,ich_reference,用于热贡艺术、唐卡、壁画、堆绣与泥塑等标签。
unesco_lum,UNESCO ICH: Lum medicinal bathing of Sowa Rigpa,https://ich.unesco.org/en/RL/lum-medicinal-bathing-of-sowa-rigpa-knowledge-and-practices-concerning-life-health-and-illness-prevention-and-treatment-among-the-tibetan-people-in-china-01386,ich_reference,用于藏医药浴与 Sowa Rigpa 知识体系相关标签。
derge_rubin,"Rubin Museum: Derge Parkhang, a living tradition of Tibetan woodblock printing",https://rubinmuseum.org/inside-the-derge-parkhang-a-living-tradition-of-tibetan-woodblock-printing/,museum_reference,用于德格印经院与木刻印刷传统。
derge_official,Official site: Dege Sutra-Printing House,https://www.degeparkhang.org/en/,institution_site,德格印经院机构网站；后续可核对开放信息。
nyemo_incense,Nyemo / Tunba Tibetan incense references,https://eng.tibet.cn/eng/index/top/202312/t20231212_7536512.html,craft_reference,用于尼木吞巴藏香的初始说明；发布前建议补充地方志或官方非遗条目。
care_principles,CARE Principles for Indigenous Data Governance,https://www.gida-global.org/careprinciples,ethics_framework,用于资料治理与敏感知识处理原则。
editorial_seed,Editorial seed note,,internal_note,示范性初稿。该点位需要人工复核藏文名、坐标、历史细节与授权素材。
